molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50_values
CHEMBL336071,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OCO3)c2ccccc2NC1=O,1.8,active,477.4670000000002,3.804100000000002,2.0,5.0,1.8,8.744727494896694
CHEMBL336813,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OCO3)c2ccccc2N(CCO)C1=O,0.9,active,521.5200000000003,3.1909000000000014,2.0,6.0,0.9,9.045757490560675
CHEMBL334594,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OCO3)c2ccccc2N(CC(N)=O)C1=O,13.2,active,534.5190000000003,2.6838999999999995,2.0,6.0,13.2,7.87942606879415
CHEMBL133237,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(=O)ccoc3c2)c2ccccc2N(C)C1=O,1.2,active,515.5160000000002,4.206100000000003,1.0,5.0,1.2,8.920818753952375
CHEMBL423533,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)CCC3=O)c2ccccc2N(C)C1=O,3.6,active,501.5330000000003,4.228600000000003,1.0,4.0,3.6,8.443697499232712
CHEMBL133857,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(O)nccc3c2)c2ccccc2N(C)C1=O,0.2,active,514.5320000000002,4.353500000000003,2.0,5.0,0.2,9.698970004336019
CHEMBL133235,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OC(F)(F)O3)c2ccccc2N(C)C1=O,28.0,active,527.4740000000002,4.4212000000000025,1.0,5.0,28.0,7.552841968657781
CHEMBL130093,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)NC1N=C(c2ccc(C(N)=O)cc2)c2ccccc2N(C)C1=O,0.49,active,490.5100000000002,3.1986000000000017,2.0,4.0,0.49,9.309803919971486
CHEMBL133746,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OCO3)c2ccccc2N(C)C1=O,13.2,active,491.49400000000026,3.828400000000002,1.0,5.0,13.2,7.87942606879415
CHEMBL335184,CC(=O)CCN1C(=O)[C@@H](NC(=O)[C@@H](C)Cc2ccc(F)c(F)c2)N=C(c2ccc3c(c2)OCO3)c2ccccc21,3.7,active,547.5580000000002,4.177700000000003,1.0,6.0,3.7,8.431798275933005
CHEMBL341256,CNC(=O)CN1C(=O)[C@@H](NC(=O)[C@@H](C)Cc2ccc(F)c(F)c2)N=C(c2ccc3c(c2)OCO3)c2ccccc21,1.8,active,548.5460000000003,2.944600000000001,2.0,6.0,1.8,8.744727494896694
CHEMBL134124,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OCO3)c2ccccc2N(CC(=O)N(C)C)C1=O,5.5,active,562.5730000000002,3.2868000000000013,1.0,6.0,5.5,8.259637310505756
